name;method;homo;lumo;chi;eta;omega;dm;alpha;delta_alpha
1,3-dihydroxy-2-methoxyanthraquinone;wb97xd4;-8.5803;-0.9853;4.7828;7.595;1.505936526662278;2.3522;195.12749666666664;169.62006042776366
1,3-dihydroxy-2-methoxyanthraquinone;wb97xd4_solv;-8.5615;-1.0732;4.81735;7.488300000000001;1.5495413526768427;3.23163;278.7159266666667;228.42138183810508
1-aminopurpurin;wb97xd4;-7.7541;-0.8334;4.29375;6.9207;1.3319670743205168;2.48997;191.42915000000002;176.66591475651407
1-aminopurpurin;wb97xd4_solv;-7.8011;-0.9265;4.3638;6.8746;1.385007887004335;3.64384;284.8611833333333;263.44586314985077
1-desmethylaurantio-obtusin;wb97xd4;-8.6878;-1.0729;4.88035;7.6149;1.563895528667481;2.63411;223.35236999999998;199.92052522654745
1-desmethylaurantio-obtusin;wb97xd4_solv;-8.6741;-1.1047;4.889399999999999;7.569399999999999;1.5791365471503684;3.66359;317.84501;264.44599402096264
1-desmethylchryso-obtusin;wb97xd4;-8.495;-0.8642;4.6796;7.630799999999999;1.4348859988467788;3.27711;247.29118333333335;198.73695259100356
1-desmethylchryso-obtusin;wb97xd4_solv;-8.6107;-1.005;4.80785;7.6057;1.5196117137475842;4.19613;347.1321766666667;257.4489228366304
1-hydroxy-9,10-anthraquinone;wb97xd4;-9.0723;-1.1631;5.1177;7.9092;1.6557207612653617;1.40839;167.18947;141.1257594531994
1-hydroxy-9,10-anthraquinone;wb97xd4_solv;-9.0773;-1.1518;5.1145499999999995;7.9254999999999995;1.6502821085420476;1.61527;205.08038;170.13654650459642
1-hydroxyphenazine_di-N-oxide;wb97xd4;-7.6837;-1.4763;4.58;6.2074;1.6896285079099143;2.21032;181.70540333333335;165.6387541654274
1-hydroxyphenazine_di-N-oxide;wb97xd4_solv;-7.7268;-1.4372;4.582;6.2896;1.6690031162554055;2.8059;254.58438666666666;234.51615180968795
2-hydroxyphenazine_di-N-oxide;wb97xd4;-7.4817;-1.2213;4.3515;6.2604;1.512327666762507;0.81529;183.35549;173.1406818797385
2-hydroxyphenazine_di-N-oxide;wb97xd4_solv;-7.6864;-1.2744;4.4803999999999995;6.412;1.565344990642545;1.04552;279.57441;264.78395541487424
3,6-dimethoxyphenazinecarboxylic_acid_methyl_ester;wb97xd4;-8.0464;-0.5806;4.3135;7.4658;1.2461010373971981;3.77063;231.28480333333334;184.57908346694268
3,6-dimethoxyphenazinecarboxylic_acid_methyl_ester;wb97xd4_solv;-8.195;-0.8265;4.51075;7.3685;1.3806653703263894;4.95624;329.22443;267.2418382433398
3-aminodemethyloxyaaptamine;wb97xd4;-8.0225;-0.8834;4.45295;7.139100000000001;1.3887439384866442;5.78959;177.79201333333333;154.28652880417786
3-aminodemethyloxyaaptamine;wb97xd4_solv;-8.1054;-1.0575;4.58145;7.047899999999999;1.4890736320393312;9.23287;271.97408666666666;251.80714004854548
4,3-dibromprodigiosin;wb97xd4;-7.2543;-0.5522;3.90325;6.7021;1.1366109549618775;2.30299;358.1902866666667;318.9696746127819
4,3-dibromprodigiosin;wb97xd4_solv;-7.2929;-0.6403;3.9666;6.6526000000000005;1.182538823918468;4.16757;525.1651633333333;466.2906881318683
4-aminocarminic_acid;wb97xd4;-7.3731;-0.8086;4.09085;6.5645;1.2746632433924898;6.30529;334.45255333333336;271.3221408927644
4-aminocarminic_acid;wb97xd4_solv;-7.5963;-1.0252;4.3107500000000005;6.5711;1.4139615560941092;8.01226;473.1811599999999;349.45296743348104
4-demethoxymychigazone;wb97xd4;-8.3414;-1.0522;4.6968;7.2892;1.5131928222575863;3.93289;212.32621000000003;242.4255536541109
4-demethoxymychigazone;wb97xd4_solv;-8.3404;-1.1232;4.731800000000001;7.217200000000001;1.5511508091780748;5.99183;312.17037666666664;373.2810023304292
5,6-dihydroxydamnacanthol;wb97xd4;-8.544;-0.8882;4.7161;7.6558;1.4525979786567047;4.98849;216.92110333333335;181.2902866324313
5,6-dihydroxydamnacanthol;wb97xd4_solv;-8.6571;-1.0109;4.834;7.6462;1.52805027333839;6.27521;308.02277;239.62787476975356
5-benzyldemethylaaptamine;wb97xd4;-7.0996;0.3948;3.3524;7.4944;0.7497989005123825;6.60356;253.44767666666667;195.2891885612967
5-benzyldemethylaaptamine;wb97xd4_solv;-7.1308;0.0247;3.55305;7.1555;0.8821301308434071;9.06947;363.56574666666666;252.93584319050277
6-bromo-N-methylaplysinopsin;wb97xd4;-7.7069;0.5863;3.5603;8.2932;0.7642246714175468;4.42857;244.64031;213.95678621948542
6-bromo-N-methylaplysinopsin;wb97xd4_solv;-7.6161;0.5652;3.52545;8.1813;0.7595857444721499;6.26449;340.53620666666666;249.64694177254887
6-bromoaplysinopsin;wb97xd4;-7.8009;0.4679;3.6665;8.2688;0.8128883423229488;3.65552;230.1936933333333;210.43020052083753
6-bromoaplysinopsin;wb97xd4_solv;-7.682;0.4788;3.6016000000000004;8.1608;0.794745770022547;5.3311;322.90164999999996;257.1523759749863
6-cyano-5-methoxy-12-methylindolo_23-a_carbazole;wb97xd4;-7.5657;0.4788;3.54345;8.0445;0.7804113308782399;6.37354;281.23736;259.8500008147287
6-cyano-5-methoxy-12-methylindolo_23-a_carbazole;wb97xd4_solv;-7.5682;0.4231;3.57255;7.9913;0.798563031202683;9.14235;388.86546;344.2446368255717
6-deoxyexophialin;wb97xd4;-8.2646;-1.2975;4.78105;6.967099999999999;1.6404557924028649;7.0258;256.7785633333333;195.08352221426568
6-deoxyexophialin;wb97xd4_solv;-8.0787;-1.3581;4.7184;6.720599999999999;1.6563475403981789;9.52487;393.0733666666667;325.55751709275887
6E,6E-rhodoxanthin;wb97xd4;-7.0004;-1.0753;4.03785;5.9251000000000005;1.3758613882044184;0.4762;881.0297266666666;1535.5381034445759
6E,6E-rhodoxanthin;wb97xd4_solv;-6.9321;-1.0177;3.9749;5.9144000000000005;1.3357086103408629;0.55602;1006.0269866666666;1713.7861808356947
6Z,6E-rhodoxanthin;wb97xd4;-6.9796;-1.0046;3.9920999999999998;5.975;1.3336286535564852;1.3656;857.7237366666667;1413.2483976794126
6Z,6E-rhodoxanthin;wb97xd4_solv;-6.9151;-0.95;3.93255;5.9651;1.2962858545958995;1.62133;977.40376;1565.2763384381988
6Z,6Z-rhodoxanthin;wb97xd4;-6.9735;-0.953;3.96325;6.020499999999999;1.3044888765467986;0.10792;850.9169666666666;1423.5981469044043
6Z,6Z-rhodoxanthin;wb97xd4_solv;-6.9111;-0.8987;3.9049;6.0124;1.2680663304171378;0.12239;966.3611033333333;1568.3660753455945
7,7-biphyscion;wb97xd4;-8.8125;-0.9851;4.8988;7.8274;1.5329637836318573;2.90585;431.9764400000001;332.2729211730247
7,7-biphyscion;wb97xd4_solv;-8.8855;-1.0551;4.9703;7.830400000000001;1.5774342364374743;4.25955;601.2960933333333;318.89791848167863
7-isopropenyl-4-methylazulen-1-ylmethyl_stearate;wb97xd4;-7.4725;-0.2741;3.8733;7.1984;1.0420685770448987;1.78281;407.5967333333333;169.34659430835947
7-isopropenyl-4-methylazulen-1-ylmethyl_stearate;wb97xd4_solv;-7.5496;-0.3152;3.9324;7.2344;1.068766570828265;2.47299;549.69789;218.25489269920197
8-hydroxyexophialin;wb97xd4;-8.2435;-1.3932;4.81835;6.850299999999999;1.6945605829306747;6.69769;269.80293;201.92817838334645
8-hydroxyexophialin;wb97xd4_solv;-8.0779;-1.4175;4.7477;6.660399999999999;1.6921397581226354;8.93439;413.5968833333333;333.7667345079641
9,14-diacetylxanosporolactone;wb97xd4;-7.7397;-1.2785;4.5091;6.4612;1.5733906093295362;5.44871;432.40933666666666;250.05947629889275
9,14-diacetylxanosporolactone;wb97xd4_solv;-7.5074;-1.1336;4.3205;6.373799999999999;1.4643321291851017;7.78243;643.1491233333334;466.13879541371426
9-cis-neoxanthin;wb97xd4;-6.8108;-0.5302;3.6705;6.280600000000001;1.072554393688501;5.17591;717.9246166666667;857.9325305826842
9-cis-neoxanthin;wb97xd4_solv;-6.7887;-0.5148;3.6517500000000003;6.2739;1.0627582574236123;6.79455;970.9376566666666;1099.4122419961263
AQ256;wb97xd4;-8.9441;-1.2201;5.0821000000000005;7.724;1.6719148375194202;1.37399;182.8738;164.7610300632777
AQ256;wb97xd4_solv;-8.8819;-1.1928;5.03735;7.6891;1.6500562499187161;1.92493;265.0515533333333;232.59276918395852
Alkannin_S-alpha-_methylbutyryl;wb97xd4;-8.4766;-1.5159;4.99625;6.960699999999999;1.7931037153231717;1.74079;261.79210666666665;107.62993763913967
Alkannin_S-alpha-_methylbutyryl;wb97xd4_solv;-8.5112;-1.459;4.9851;7.052200000000001;1.7619481870905531;2.53526;372.0814533333333;153.1315516653155
IB-00208;wb97xd4;-8.1006;-0.9955;4.54805;7.1051;1.4556275634755316;5.42976;478.76143333333334;281.7748363088613
IB-00208;wb97xd4_solv;-8.196;-1.2762;4.7360999999999995;6.9197999999999995;1.620758057313795;7.22253;615.79997;335.81583996256774
N,N-dimethylindigo;wb97xd4;-7.4402;-0.9884;4.2143;6.4518;1.3763852328032484;2.64184;259.01535;265.1779675374072
N,N-dimethylindigo;wb97xd4_solv;-7.4728;-1.1026;4.2877;6.3702000000000005;1.4429979663118897;3.59423;354.6806733333333;359.9791075940991
N,N-dodecylindigoidine;wb97xd4;-7.1642;-1.4737;4.31895;5.6905;1.6389885864598892;0.76868;530.28752;456.94134055477815
N,N-dodecylindigoidine;wb97xd4_solv;-7.0641;-1.4639;4.264;5.6002;1.6233077390093213;0.87418;716.67288;651.0617744736704
N-acetylquestiomycin_A;wb97xd4;-8.4486;-1.2383;4.843450000000001;7.210300000000001;1.626770585308517;2.41325;216.60371999999998;256.4614902161503
N-acetylquestiomycin_A;wb97xd4_solv;-8.4261;-1.273;4.84955;7.1531;1.6439120942318712;3.65367;324.69657;404.0382032554099
PD116152;wb97xd4;-8.4536;-1.2033;4.82845;7.250299999999999;1.6077906709032732;3.62772;242.07216666666667;215.56950493096534
PD116152;wb97xd4_solv;-8.3562;-1.0788;4.717499999999999;7.277399999999999;1.5290355243630964;4.651;348.40366666666665;303.7367088760951
