wavelength;fosc;id;method;name
442.6;0.086551694;1;PBE0_solv;"1,3-dihydroxy-2-methoxyanthraquinone"
395.8;0.118530052;2;PBE0_solv;"1,3-dihydroxy-2-methoxyanthraquinone"
386.5;0.000020396;3;PBE0_solv;"1,3-dihydroxy-2-methoxyanthraquinone"
337.7;0.000040644;4;PBE0_solv;"1,3-dihydroxy-2-methoxyanthraquinone"
311.8;0.071737322;5;PBE0_solv;"1,3-dihydroxy-2-methoxyanthraquinone"
340.9;0.147279936;1;wB97XD4_solv;"1,3-dihydroxy-2-methoxyanthraquinone"
339.6;0.001161811;2;wB97XD4_solv;"1,3-dihydroxy-2-methoxyanthraquinone"
337.3;0.137359386;3;wB97XD4_solv;"1,3-dihydroxy-2-methoxyanthraquinone"
303.1;0.000045161;4;wB97XD4_solv;"1,3-dihydroxy-2-methoxyanthraquinone"
271.7;0.092482978;5;wB97XD4_solv;"1,3-dihydroxy-2-methoxyanthraquinone"
420.6;0.059398967;1;PBE0;"1,3-dihydroxy-2-methoxyanthraquinone"
401.6;0.000009360;2;PBE0;"1,3-dihydroxy-2-methoxyanthraquinone"
385.1;0.079523334;3;PBE0;"1,3-dihydroxy-2-methoxyanthraquinone"
341.8;0.000032959;4;PBE0;"1,3-dihydroxy-2-methoxyanthraquinone"
302.6;0.043126945;5;PBE0;"1,3-dihydroxy-2-methoxyanthraquinone"
351.0;0.000006622;1;wB97XD4;"1,3-dihydroxy-2-methoxyanthraquinone"
330.8;0.159968840;2;wB97XD4;"1,3-dihydroxy-2-methoxyanthraquinone"
326.9;0.043333110;3;wB97XD4;"1,3-dihydroxy-2-methoxyanthraquinone"
305.8;0.000038361;4;wB97XD4;"1,3-dihydroxy-2-methoxyanthraquinone"
265.3;0.053826297;5;wB97XD4;"1,3-dihydroxy-2-methoxyanthraquinone"
412.6;0.055801839;1;B2PLYP;"1,3-dihydroxy-2-methoxyanthraquinone"
396.6;0.000017139;2;B2PLYP;"1,3-dihydroxy-2-methoxyanthraquinone"
384.9;0.104509240;3;B2PLYP;"1,3-dihydroxy-2-methoxyanthraquinone"
345.9;0.000027513;4;B2PLYP;"1,3-dihydroxy-2-methoxyanthraquinone"
302.6;0.053695600;5;B2PLYP;"1,3-dihydroxy-2-methoxyanthraquinone"
429.2;0.070266547;1;B2PLYP_solv;"1,3-dihydroxy-2-methoxyanthraquinone"
397.2;0.157363691;2;B2PLYP_solv;"1,3-dihydroxy-2-methoxyanthraquinone"
382.0;0.000010502;3;B2PLYP_solv;"1,3-dihydroxy-2-methoxyanthraquinone"
341.5;0.000034850;4;B2PLYP_solv;"1,3-dihydroxy-2-methoxyanthraquinone"
312.3;0.088123311;5;B2PLYP_solv;"1,3-dihydroxy-2-methoxyanthraquinone"
375.3;0.000015679;1;PBEQIHD;"1,3-dihydroxy-2-methoxyanthraquinone"
367.9;0.034078635;2;PBEQIHD;"1,3-dihydroxy-2-methoxyanthraquinone"
380.5;0.139168546;3;PBEQIHD;"1,3-dihydroxy-2-methoxyanthraquinone"
329.7;0.000026349;4;PBEQIHD;"1,3-dihydroxy-2-methoxyanthraquinone"
299.4;0.056985867;5;PBEQIHD;"1,3-dihydroxy-2-methoxyanthraquinone"
385.9;0.050945639;1;PBEQIHD_solv;"1,3-dihydroxy-2-methoxyanthraquinone"
387.8;0.192604177;2;PBEQIHD_solv;"1,3-dihydroxy-2-methoxyanthraquinone"
362.6;0.000016665;3;PBEQIHD_solv;"1,3-dihydroxy-2-methoxyanthraquinone"
326.1;0.000033530;4;PBEQIHD_solv;"1,3-dihydroxy-2-methoxyanthraquinone"
307.7;0.094539593;5;PBEQIHD_solv;"1,3-dihydroxy-2-methoxyanthraquinone"
366.0;0.072710078;1;BMK;"1,3-dihydroxy-2-methoxyanthraquinone"
361.9;0.000056600;2;BMK;"1,3-dihydroxy-2-methoxyanthraquinone"
349.7;0.097018793;3;BMK;"1,3-dihydroxy-2-methoxyanthraquinone"
314.0;0.000032752;4;BMK;"1,3-dihydroxy-2-methoxyanthraquinone"
280.8;0.052139101;5;BMK;"1,3-dihydroxy-2-methoxyanthraquinone"
381.5;0.098807190;1;BMK_solv;"1,3-dihydroxy-2-methoxyanthraquinone"
358.5;0.145892446;2;BMK_solv;"1,3-dihydroxy-2-methoxyanthraquinone"
348.8;0.000023947;3;BMK_solv;"1,3-dihydroxy-2-methoxyanthraquinone"
310.4;0.000039568;4;BMK_solv;"1,3-dihydroxy-2-methoxyanthraquinone"
288.8;0.087194379;5;BMK_solv;"1,3-dihydroxy-2-methoxyanthraquinone"
382.2;0.073335340;1;CAMB3LYP;"1,3-dihydroxy-2-methoxyanthraquinone"
377.6;0.000073858;2;CAMB3LYP;"1,3-dihydroxy-2-methoxyanthraquinone"
364.0;0.091028013;3;CAMB3LYP;"1,3-dihydroxy-2-methoxyanthraquinone"
325.3;0.000035401;4;CAMB3LYP;"1,3-dihydroxy-2-methoxyanthraquinone"
288.7;0.050026765;5;CAMB3LYP;"1,3-dihydroxy-2-methoxyanthraquinone"
399.1;0.099539357;1;CAMB3LYP_solv;"1,3-dihydroxy-2-methoxyanthraquinone"
373.9;0.137380601;2;CAMB3LYP_solv;"1,3-dihydroxy-2-methoxyanthraquinone"
363.7;0.000019808;3;CAMB3LYP_solv;"1,3-dihydroxy-2-methoxyanthraquinone"
321.8;0.000042849;4;CAMB3LYP_solv;"1,3-dihydroxy-2-methoxyanthraquinone"
296.8;0.083111272;5;CAMB3LYP_solv;"1,3-dihydroxy-2-methoxyanthraquinone"
375.8;0.000006895;1;M062X;"1,3-dihydroxy-2-methoxyanthraquinone"
352.6;0.079254519;2;M062X;"1,3-dihydroxy-2-methoxyanthraquinone"
342.6;0.103218984;3;M062X;"1,3-dihydroxy-2-methoxyanthraquinone"
323.5;0.000030935;4;M062X;"1,3-dihydroxy-2-methoxyanthraquinone"
274.5;0.050337314;5;M062X;"1,3-dihydroxy-2-methoxyanthraquinone"
366.8;0.101653611;1;M062X_solv;"1,3-dihydroxy-2-methoxyanthraquinone"
362.7;0.000144587;2;M062X_solv;"1,3-dihydroxy-2-methoxyanthraquinone"
350.9;0.159219942;3;M062X_solv;"1,3-dihydroxy-2-methoxyanthraquinone"
320.0;0.000035245;4;M062X_solv;"1,3-dihydroxy-2-methoxyanthraquinone"
282.3;0.088978802;5;M062X_solv;"1,3-dihydroxy-2-methoxyanthraquinone"
381.6;0.000006101;1;wPBEPP86;"1,3-dihydroxy-2-methoxyanthraquinone"
365.5;0.057799333;2;wPBEPP86;"1,3-dihydroxy-2-methoxyanthraquinone"
388.4;0.116130460;3;wPBEPP86;"1,3-dihydroxy-2-methoxyanthraquinone"
336.1;0.000025259;4;wPBEPP86;"1,3-dihydroxy-2-methoxyanthraquinone"
301.7;0.055980720;5;wPBEPP86;"1,3-dihydroxy-2-methoxyanthraquinone"
380.5;0.042071122;1;wPBEPP86_solv;"1,3-dihydroxy-2-methoxyanthraquinone"
399.4;0.197078961;2;wPBEPP86_solv;"1,3-dihydroxy-2-methoxyanthraquinone"
369.2;0.000025406;3;wPBEPP86_solv;"1,3-dihydroxy-2-methoxyanthraquinone"
332.5;0.000031806;4;wPBEPP86_solv;"1,3-dihydroxy-2-methoxyanthraquinone"
310.3;0.093586350;5;wPBEPP86_solv;"1,3-dihydroxy-2-methoxyanthraquinone"
347.5;0.000007475;1;wB97XD4_TDA;"1,3-dihydroxy-2-methoxyanthraquinone"
317.7;0.195750082;2;wB97XD4_TDA;"1,3-dihydroxy-2-methoxyanthraquinone"
316.4;0.048494883;3;wB97XD4_TDA;"1,3-dihydroxy-2-methoxyanthraquinone"
303.5;0.000058935;4;wB97XD4_TDA;"1,3-dihydroxy-2-methoxyanthraquinone"
258.7;0.050337094;5;wB97XD4_TDA;"1,3-dihydroxy-2-methoxyanthraquinone"
336.6;0.000046799;1;wB97XD4_TDA_solv;"1,3-dihydroxy-2-methoxyanthraquinone"
328.7;0.095934048;2;wB97XD4_TDA_solv;"1,3-dihydroxy-2-methoxyanthraquinone"
325.4;0.237627868;3;wB97XD4_TDA_solv;"1,3-dihydroxy-2-methoxyanthraquinone"
301.0;0.000057569;4;wB97XD4_TDA_solv;"1,3-dihydroxy-2-methoxyanthraquinone"
264.6;0.088094516;5;wB97XD4_TDA_solv;"1,3-dihydroxy-2-methoxyanthraquinone"
482.1;0.271497027;1;PBE0_solv;"1-aminopurpurin"
372.6;0.000033160;2;PBE0_solv;"1-aminopurpurin"
348.9;0.003733084;3;PBE0_solv;"1-aminopurpurin"
337.8;0.009703826;4;PBE0_solv;"1-aminopurpurin"
332.9;0.000015228;5;PBE0_solv;"1-aminopurpurin"
419.8;0.355257909;1;wB97XD4_solv;"1-aminopurpurin"
327.3;0.000034561;2;wB97XD4_solv;"1-aminopurpurin"
306.7;0.008276742;3;wB97XD4_solv;"1-aminopurpurin"
299.7;0.000023598;4;wB97XD4_solv;"1-aminopurpurin"
268.4;0.019160342;5;wB97XD4_solv;"1-aminopurpurin"
464.4;0.198248832;1;PBE0;"1-aminopurpurin"
382.3;0.000025630;2;PBE0;"1-aminopurpurin"
343.7;0.000011117;3;PBE0;"1-aminopurpurin"
340.8;0.000793614;4;PBE0;"1-aminopurpurin"
327.2;0.005758559;5;PBE0;"1-aminopurpurin"
403.4;0.270816869;1;wB97XD4;"1-aminopurpurin"
334.4;0.000027893;2;wB97XD4;"1-aminopurpurin"
307.3;0.000018290;3;wB97XD4;"1-aminopurpurin"
298.1;0.003507691;4;wB97XD4;"1-aminopurpurin"
263.1;0.012997872;5;wB97XD4;"1-aminopurpurin"
476.3;0.223354836;1;B2PLYP;"1-aminopurpurin"
382.3;0.000018950;2;B2PLYP;"1-aminopurpurin"
331.3;0.001540699;3;B2PLYP;"1-aminopurpurin"
349.7;0.000013000;4;B2PLYP;"1-aminopurpurin"
322.0;0.003739032;5;B2PLYP;"1-aminopurpurin"
495.0;0.295668850;1;B2PLYP_solv;"1-aminopurpurin"
341.8;0.004204799;2;B2PLYP_solv;"1-aminopurpurin"
372.8;0.000025560;3;B2PLYP_solv;"1-aminopurpurin"
338.9;0.000017145;4;B2PLYP_solv;"1-aminopurpurin"
331.0;0.005899683;5;B2PLYP_solv;"1-aminopurpurin"
463.9;0.242235385;1;PBEQIHD;"1-aminopurpurin"
360.6;0.000017791;2;PBEQIHD;"1-aminopurpurin"
320.9;0.002103438;3;PBEQIHD;"1-aminopurpurin"
332.9;0.000013432;4;PBEQIHD;"1-aminopurpurin"
295.3;0.007534720;5;PBEQIHD;"1-aminopurpurin"
484.0;0.315206176;1;PBEQIHD_solv;"1-aminopurpurin"
332.0;0.004326861;2;PBEQIHD_solv;"1-aminopurpurin"
352.2;0.000023407;3;PBEQIHD_solv;"1-aminopurpurin"
323.3;0.000016462;4;PBEQIHD_solv;"1-aminopurpurin"
303.7;0.008748718;5;PBEQIHD_solv;"1-aminopurpurin"
427.5;0.234351253;1;BMK;"1-aminopurpurin"
344.5;0.000025158;2;BMK;"1-aminopurpurin"
315.0;0.000014018;3;BMK;"1-aminopurpurin"
314.3;0.001317252;4;BMK;"1-aminopurpurin"
293.6;0.006537719;5;BMK;"1-aminopurpurin"
444.4;0.313730315;1;BMK_solv;"1-aminopurpurin"
336.1;0.000031897;2;BMK_solv;"1-aminopurpurin"
323.1;0.004988675;3;BMK_solv;"1-aminopurpurin"
306.0;0.000018538;4;BMK_solv;"1-aminopurpurin"
299.9;0.010004626;5;BMK_solv;"1-aminopurpurin"
440.9;0.225600995;1;CAMB3LYP;"1-aminopurpurin"
359.7;0.000026740;2;CAMB3LYP;"1-aminopurpurin"
327.1;0.000015124;3;CAMB3LYP;"1-aminopurpurin"
322.4;0.001713580;4;CAMB3LYP;"1-aminopurpurin"
302.2;0.008144019;5;CAMB3LYP;"1-aminopurpurin"
458.1;0.302600833;1;CAMB3LYP_solv;"1-aminopurpurin"
351.0;0.000033615;2;CAMB3LYP_solv;"1-aminopurpurin"
332.5;0.006699763;3;CAMB3LYP_solv;"1-aminopurpurin"
317.8;0.000020130;4;CAMB3LYP_solv;"1-aminopurpurin"
308.6;0.011217793;5;CAMB3LYP_solv;"1-aminopurpurin"
422.9;0.240718099;1;M062X;"1-aminopurpurin"
356.1;0.000024897;2;M062X;"1-aminopurpurin"
323.8;0.000013470;3;M062X;"1-aminopurpurin"
