,smiles,solvent,peakwavs_max
640,C=CCOc1ccc(-c2nc3cc(C(NC(=O)OC(C)(C)C)C(=O)OC)ccc3o2)cc1,CC#N,4.012297734627832
9864,CN(C)c1ccc(C#Cc2ccc(C#N)cc2)cc1,CC(C)O,3.372256000215824
9861,CN(C)c1ccc(C#Cc2ccc(C#N)cc2)cc1,CC#N,3.3858937997477505
16883,N#CC(=Cc1ccc2ccccc2c1)c1ccc(N(c2ccccc2)c2ccc3ccccc3c2)cc1,C1CCOC1,3.0092233009708735
21061,c1ccc2nc3c(nc2c1)c1c2n3CCCN2CCCC1,CC#N,2.9589498806682575
11881,COc1cc(OC)c(/C=C/c2ccc(-c3ccc(-c4ccc(/C=C(/C#N)C(=O)O)s4)s3)s2)c(OC)c1,CN(C)C=O,2.274862385321101
7417,CCN(CC)c1ccc(/C=C2\CC/C(=C\c3ccc(N(c4ccc(/C=C5\CC/C(=C\c6ccc(N(CC)CC)cc6)C5=C(C#N)C#N)cc4)c4ccc(/C=C5\CC/C(=C\c6ccc(N(CC)CC)cc6)C5=C(C#N)C#N)cc4)cc3)C2=C(C#N)C#N)cc1,CN(C)C=O,2.10135593220339
17547,N=C1NC(=O)c2c1c1c([nH]c2=O)C1,Cl,3.0239024390243903
17517,N#Cc1nc2c(OCc3ccccc3)nc(N)nc2n1Cc1ccccc1,CC#N,3.961022364217252
15397,Cc1cccc(C2=CC3=C(c4c(C)cc(C)cc4C)c4cc(-c5cccc(C)c5)c(-c5cccc(C)c5)n4[B-](F)(F)[N+]3=C2c2cccc(C)c2)c1,ClCCl,2.16369982547993
843,CC(=O)c1c2c(cc3ccc(N(C)C)cc13)CCC2,CCO,3.2885941644562333
4767,CCCCCCCCOc1ccc(-c2ccc3c(c2)c2cc(-c4ccc(OCCCCCCCC)cc4)cc4c2n3-c2ccc(-c3ccc(-c5ccc(C(=O)O)cc5)c5nsnc35)cc2C4(C)C)cc1,ClC(Cl)Cl,2.7612472160356347
10072,CN(C)c1ccc(C2=Nc3sc4cc(Cl)ccc4[n+]3[B-](F)(F)O2)cc1,ClCCl,2.8832558139534883
7590,CCN(CC)c1ccc2c(c1)C(C)(C)c1cc(-c3oc4ccccc4c(=O)c3OC)ccc1-2,C1CCOC1,3.0461916461916463
10830,COC(=O)C(C)(C)C1Oc2ccc(OC)cc2C(=O)/C1=C\NS(=O)(=O)c1ccc(OC)cc1,ClCCl,3.162755102040816
10509,CN(CCO)c1ccc(/C=C/C2=C(C#N)C(C(C#N)C#N)OC2(C)C)cc1,CS(C)=O,2.0836974789915965
17929,O=C(O)C1CCCN1C(=O)c1ccc(C2CC(c3cccc4ccccc34)=NN2c2ccccc2)cc1,C1COCCO1,3.228645833333333
6958,CCCCn1c(-c2ccc(-c3ccc(/C=C(\C#N)C(=O)O)s3)s2)nc2c3cccc4ccc5cccc(c5c43)c21,C1CCOC1,2.7429203539823006
18842,O=Cc1ccc(-c2ccc(N3CCCCC3)c3ccccc23)c2ccccc12,CCOC(C)=O,3.7683890577507597
2725,CC1=CC(c2ccc3ccccc3c2)=[O+][B-]2(OC(=O)C(=O)O2)O1,CC#N,3.0995
2958,CC1CCCC(CC(=O)OCCN(C)c2ccc(-c3ccc(-c4ccc(C=C(C#N)C(=O)O)s4)s3)cc2)(CC(=O)OCCN(C)c2ccc(-c3ccc(-c4ccc(/C=C(\C#N)C(=O)O)s4)s3)cc2)C1,C1CCOC1,2.545790554414784
6220,CCCCCCn1c2cc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)ccc2c2sc3c4sc(C=C(C#N)C(=O)O)cc4n(CCCCCC)c3c21,ClCCl,2.5046464646464646
16528,N#C/C(=C\c1ccc(-c2ccc(N(c3ccc(-c4cccs4)cc3)c3ccc(-c4cccs4)cc3)cc2)s1)C(=O)O,ClCCl,2.637872340425532
20539,c1ccc(-c2nc(-c3ccccc3)nc(-c3ccc(-n4c5ccccc5c5ccc6c(c7ccccc7n6-c6ccccc6)c54)cc3)n2)cc1,Cc1ccccc1,3.4438888888888886
4564,CCCCCCCCCOC1Cc2cc(/C=N/N(c3ccccc3)c3ccc(C=C4SC(=S)N(CC(=O)O)C4=O)cc3)ccc2N(c2ccccc2)C1,C1CCOC1,2.6211416490486257
20658,c1ccc(-n2c3ccccc3c3cc(-n4ccc5cc(-c6cccc7c6-c6ccccc6C7(c6ccccc6)c6ccccc6)ccc54)ccc32)cc1,ClCCl,3.8147692307692305
15853,FC(F)(F)c1cc(-c2ccnc3nc(-c4ccccc4)nn23)cc(C(F)(F)F)c1,ClCCl,3.8987421383647796
7558,CCN(CC)c1ccc2c(C#N)c(/C=C(\C#N)c3nc4ccccc4s3)c(=O)oc2c1,Cc1ccccc1,2.2139285714285712
18178,O=C1/C(=C/C=C/c2cc3c4c(c2)CCCN4CCC3)CC/C1=C\C=C\c1cc2c3c(c1)CCCN3CCC2,CC#N,2.4309803921568625
10815,COC(=O)/C=C/c1nc2c(c(=O)n(C)c(=O)n2C)n1C,ClCCl,3.5121813031161473
17876,O=C(N/N=C/c1ccccc1O)c1ccc([N+](=O)[O-])cc1,CS(C)=O,3.625146198830409
3739,CCCCC(CC)COc1ccc2nc(-c3ccc(-c4ccccc4)s3)sc2c1,ClCCl,3.3690217391304347
9613,CN(C)c1ccc(/C=C/C=C2\CCCC2=O)cc1,CC(C)O,2.951904761904762
1474,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2-c1ccc(-c2ccc(/C=C(/C#N)C(=O)O)s2)s1,ClCCl,2.8501149425287355
11702,COc1cc(-c2cc(-c3ccc(C)cc3)nc3c(C#N)c(N4CCCC4)nc(N)c23)cc(OC)c1OC,CC(C)O,2.9802884615384615
18006,O=C(O)CN1C(=O)/C(=C\c2ccc(N(c3ccccc3)c3ccccc3)cc2)SC1=S,CO,2.7069868995633186
12878,COc1ccc(C2=[N+]3C(=C(c4ccc(C#N)cc4)c4cc(-c5cccs5)c(-c5ccc(OC)cc5)n4[B-]3(F)F)C=C2c2cccs2)cc1,CC#N,1.9524409448818898
3694,CCCCC(CC)COC(=O)/C=C\c1ccc(OC)c(OC)c1OC,CCCCCC,3.7683890577507597
4546,CCCCCCCCCCc1nc(-c2nc(CCCCCCCCC)c(-c3ccc(/C=C(\C#N)C(=O)O)s3)s2)sc1-c1cccs1,C1CCOC1,2.917176470588235
19646,Oc1ccc(Nc2ccc3ccccc3n2)cc1,CCOC(C)=O,3.4534818941504177
4420,CCCCCCCCCCCCOc1cc2cc(N(C)C)ccc2cc1C=O,CC#N,3.22025974025974
2450,CC1(C)c2ccccc2N(c2cccc(S(=O)(=O)c3cccc(N4c5ccccc5C(C)(C)c5ccccc54)c3)c2)c2ccccc21,ClC(Cl)Cl,4.3198606271777
9058,CCn1c2ccccc2c2cc(/C=C3\C(=O)c4ccccc4S3(=O)=O)ccc21,CO,2.7798206278026907
10466,CN(CCO)c1ccc(/C=C/C(=O)c2ccc(NC(=O)c3ccc(-c4ccccc4)cc3)cc2)cc1,CS(C)=O,2.824145785876993
